Код,Наименование товаров,Заказ,Розничная,Корпоративная,от  5000 рублей,от 15000 рублей
00000775,Коробка для 10 CD (банка) (шт.),,20.00 руб.,18.00 руб.,13.50 руб.,13.00 руб.
00000712,Коробка для 25 CD (банка) (шт.),,30.00 руб.,26.05 руб.,20.26 руб.,19.54 руб.
00001087,Коробка для 50 CD (банка) (шт.),,30.00 руб.,27.88 руб.,21.69 руб.,20.91 руб.
00000669,"Мягкий конверт на 2CD с перфорацией (белый), 100шт. (шт.)",,5.00 руб.,2.97 руб.,2.15 руб.,2.07 руб.
00001357,"Пакет под DVD Box, 200шт. (уп.)",,455.00 руб.,437.40 руб.,388.80 руб.,372.60 руб.
00001665,"Пакет под СD Box, 200шт. (уп.)",,800.00 руб.,750.00 руб.,650.00 руб.,625.00 руб.
00001747,Футляр для 3DVD черный /100/ (шт.),,50.00 руб.,42.00 руб.,36.40 руб.,35.00 руб.
00000533,Футляр для Blue Ray 1 Blue (глянц.) /200/ с логотипом (шт.),,35.00 руб.,32.79 руб.,30.61 руб.,29.52 руб.
00000717,Футляр для Blue Ray 2 Blue (глянц.) /200/ (шт.),,40.00 руб.,38.29 руб.,33.51 руб.,32.31 руб.
00001432,Футляр для CD Slim черный /200/ (шт.),,30.00 руб.,25.46 руб.,23.76 руб.,22.91 руб.
00001068,Футляр для CD одинарный прозрачный/200/ (шт.),,50.00 руб.,44.10 руб.,34.30 руб.,33.08 руб.
00000215,Футляр для CD одинарный черный /200/ (шт.),,45.00 руб.,39.30 руб.,34.06 руб.,32.75 руб.
00001443,Футляр для DVD Slim 7 мм half черный двойной/200/ (шт.),,25.00 руб.,20.12 руб.,18.78 руб.,18.11 руб.
00001069,Футляр для DVD Slim 9 мм черный одинарный глянцевый /100/ (шт.),,20.00 руб.,17.28 руб.,13.44 руб.,12.96 руб.
00000396,Футляр для DVD прозрачный глянцевый двойной (clear) (шт.),,55.00 руб.,50.25 руб.,46.90 руб.,45.23 руб.
00000765,Футляр для DVD прозрачный глянцевый одинарный (шт.),,55.00 руб.,50.25 руб.,46.90 руб.,45.23 руб.
00001102,Футляр для DVD прозрачный одинарный (стекло) (шт.),,50.00 руб.,41.63 руб.,31.23 руб.,30.07 руб.
,Подставки,,,,,
00000270,"Полка для DVD дисков CDM-D19К на 19 боксов (в картонной розничной упаковке), чёрная (шт.)",,225.00 руб.,214.85 руб.,185.22 руб.,177.81 руб.
,Акссесуары для планшетных компьютеров,,,,,
00003747,"Автомобильное зарядное устр-во SAM-01 — 5V/1А, для Samsung GAL TAB DEFENDER (шт.)",,250.00 руб.,223.55 руб.,185.01 руб.,177.30 руб.
00003190,"Автомобильное ЗУ ACTIV для планшетов, 5В, 2A, разъем 2.5 х 0.9 мм (шт.)",,200.00 руб.,180.31 руб.,149.22 руб.,143.01 руб.
00004305,"Автомобильное ЗУ ACTIV для планшетов, 5В, 3A, разъем 2.5 х 0.9 мм (шт.)",,400.00 руб.,378.86 руб.,313.54 руб.,300.48 руб.
,Акссесуары для сотовых телефонов,,,,,
00000482,Шнурки на шею Молния радуга (шт.),,20.00 руб.,19.57 руб.,13.39 руб.,12.88 руб.
,Антенны,,,,,
,Блоки питания для антенн,,,,,
00003068,"Усилитель антенный 5V USB, вход F-коннектор (шт.)",,200.00 руб.,180.00 руб.,150.00 руб.,144.00 руб.
,Антенны,,,,,
00003293,"9-003 Подставка под антенну телевизионную комнатную ""УСЫ"" (шт.)",,35.00 руб.,31.35 руб.,22.28 руб.,21.45 руб.
00001463,"Антенна для FM-радио, 3dB (шт.)",,350.00 руб.,283.49 руб.,212.62 руб.,204.74 руб.
00004334,Антенна комнатная Меркурий BAS-5114 5V  с усилителем (шт.),,400.00 руб.,375.00 руб.,312.50 руб.,300.00 руб.
00008345,Антенна комнатная Меркурий BAS-5114 USB  с усилителем (шт.),,550.00 руб.,525.00 руб.,437.50 руб.,420.00 руб.
00000934,"Антенна телевизионная комнатная всеволновая (""УСЫ"") DB-618 (шт.)",,150.00 руб.,135.00 руб.,117.00 руб.,112.50 руб.
00002200,ТВ-Антенна комнатная Locus Кайман L 941.10 активная без питания с усилителем (шт.),,600.00 руб.,525.00 руб.,437.50 руб.,420.00 руб.
00000173,ТВ-Антенна комнатная Locus Кайман L 942.10 активная с питанием с усилителем (шт.),,750.00 руб.,675.00 руб.,562.50 руб.,540.00 руб.
,Блоки питания,,,,,
,Блоки питания для компьютеров,,,,,
00002521,"Блок питания 350Вт ATX 2.2 Exegate UN350, 12 см, 24+4pin, 4*SATA, FDD, IDE-Molex (шт.)",,"1,150.00 руб.","1,065.00 руб.",923.00 руб.,887.50 руб.
00005449,"Блок питания 500Вт ATX 2.3 Exegate UNS500 12 см, 20+4 pin, 6+2pin PCI-E, 3 SATA, 2 Molex, FDD (шт.)",,"2,000.00 руб.","1,845.00 руб.","1,599.00 руб.","1,537.50 руб."
00005218,"Блок питания 850Вт 850PPX RTL ATX Exegate, 14см, APFC, 24+2 по 4+4, PCI-E, 5*SATA, 4IDE, FDD (шт.)",,"8,000.00 руб.","7,816.50 руб.","7,121.70 руб.","6,832.20 руб."
,Блоки питания для ноутбуков,,,,,
00002769,"74-003 Адаптер/блок питания для ноутбуков HP 18,5V 3,5A разъем 4,74*1,7мм (шт.)",,"1,000.00 руб.",969.93 руб.,808.28 руб.,775.95 руб.
00003419,"74-004 Адаптер/блок питания для ноутбуков HP 18,5V 3,5A разъем 7,4*1мм pin (шт.)",,"1,175.00 руб.","1,096.71 руб.",945.44 руб.,907.62 руб.
00001425,"74-006 Адаптер/блок питания для ноутбуков HP 19,0V 4,74A разъем 7,4*1мм pin (шт.)",,"1,350.00 руб.","1,269.72 руб.","1,100.43 руб.","1,058.10 руб."
00006342,"74-007 Адаптер/блок питания для ноутбуков IBM 20,0V 3,25A разъем 8,0*1мм pin (шт.)",,"1,300.00 руб.","1,148.25 руб.",989.87 руб.,950.27 руб.
00004018,"74-008 Адаптер/блок питания для ноутбуков IBM 20,0V 4,5A разъем 8,0*1мм pin (шт.)",,"1,300.00 руб.","1,148.25 руб.",989.87 руб.,950.27 руб.
00006095,"74-010 Блок питания для ноутбука Lenovo 20V 4,5A/New прямоугольный разъем (шт.)",,"1,500.00 руб.","1,427.00 руб.","1,189.17 руб.","1,141.60 руб."
00006763,"74-012 Блок питания для ноутбука 19,5V 4,62A/7,4*1PIN DELL (шт.)",,"1,600.00 руб.","1,430.81 руб.","1,233.45 руб.","1,184.12 руб."
00000975,"74-017 Блок питания для ноутбука ASUS 19V 2,64A / 5,5*2,5мм (шт.)",,"1,000.00 руб.",969.93 руб.,808.28 руб.,775.95 руб.
00000332,"74-020 Адаптер/блок питания для ноутбуков HP 19,0V 1,58A разъем 4,74*1,7мм (шт.)",,"1,100.00 руб.","1,001.82 руб.",834.85 руб.,801.46 руб.
00004653,"74-021 Адаптер/блок питания для ноутбуков HP 19,0V 1,58A разъем 4,0*1,7мм (шт.)",,"1,100.00 руб.",968.43 руб.,834.85 руб.,801.46 руб.
00005564,"74-023 Адаптер/блок питания для ноутбуков Samsung 19V 2,1A разъем 5,0*1,0pin (шт.)",,"1,100.00 руб.","1,025.03 руб.",888.36 руб.,854.19 руб.
00005030,"Автомобильное зарядное для ноутбука ASUS 19В 4,74A, 90Вт, 5,5x2,5мм (шт.)",,"1,600.00 руб.","1,514.00 руб.","1,261.67 руб.","1,211.20 руб."
00008101,"Блок питания (зарядное) для ноутбука ACER 19В 3,42A, 3,0x1,0мм, пакет (шт.)",,"1,600.00 руб.","1,470.09 руб.","1,274.08 руб.","1,225.08 руб."
00007538,"Блок питания (зарядное) для ноутбука ACER 19В 4,74A, 90Вт, 5,5x1,7мм, пакет, модель PA-1700-02 (шт.)",,"1,900.00 руб.","1,775.10 руб.","1,538.42 руб.","1,479.25 руб."
00005031,Блок питания (зарядное) для ноутбука ASUS 19V/3.42A 4.0x1.35mm (шт.),,"1,600.00 руб.","1,471.46 руб.","1,275.27 руб.","1,226.22 руб."
00007242,"Блок питания (зарядное) для ноутбука ASUS 19В 4,74A, 90Вт, 5,5x2,5мм (шт.)",,"1,900.00 руб.","1,775.10 руб.","1,538.42 руб.","1,479.25 руб."
00005033,"Блок питания (зарядное) для ноутбука ASUS 19В 6,32A 5,5x2,5мм, модель HSNN-DA37 (шт.)",,"2,150.00 руб.","1,999.35 руб.","1,666.13 руб.","1,599.48 руб."
00005037,"Блок питания (зарядное) для ноутбука DEII  19,5В 3,34A, 65Вт, 4,5х3,0мм (шт.)",,"1,700.00 руб.","1,583.33 руб.","1,319.44 руб.","1,266.66 руб."
00001434,"Блок питания (зарядное) для ноутбука DEII 19,5В 4,62A, 90Вт, 7,4х5,0мм (шт.)",,"1,700.00 руб.","1,583.33 руб.","1,319.44 руб.","1,266.66 руб."
00008520,"Блок питания (зарядное) для ноутбука FIESTA SAMSUNG 19В 4,74A, 90ВТ, 5,5 x 3,0мм модель PL 19-4.74 (шт.)",,"1,000.00 руб.",930.00 руб.,806.00 руб.,775.00 руб.
00001301,Блок питания (зарядное) для ноутбука HP 18.5V 3.5A 4.8x1.7 (шт.),,"1,700.00 руб.","1,583.33 руб.","1,319.44 руб.","1,266.66 руб."
00007606,Блок питания (зарядное) для ноутбука HP 19.5V 3.33A 4.5x3.0 (шт.),,"1,800.00 руб.","1,674.45 руб.","1,451.19 руб.","1,395.38 руб."
00005032,"Блок питания (зарядное) для ноутбука LENOVO  20В 3,25A, 65Вт, 4.0*1.7 (шт.)",,"1,700.00 руб.","1,583.33 руб.","1,319.44 руб.","1,266.66 руб."
00005034,"Блок питания (зарядное) для ноутбука LENOVO 20В 4,5A, 90Вт, круглый разъем 7.9x5.5мм (шт.)",,"1,700.00 руб.","1,583.33 руб.","1,319.44 руб.","1,266.66 руб."
00005038,"Блок питания (зарядное) для ноутбука LENOVO 20В 4,5A, 90Вт, прямоугольный разъем (шт.)",,"1,700.00 руб.","1,583.33 руб.","1,319.44 руб.","1,266.66 руб."
00005036,"Блок питания (зарядное) для ноутбука SAMSUNG 19В 4,74A, 90ВТ, 5,5 x 3,0мм модель APO4214-UV (шт.)",,"1,750.00 руб.","1,627.38 руб.","1,410.40 руб.","1,356.15 руб."
00007539,"Блок питания (зарядное) для ноутбука Toshiba 19В 4,74A, 90Вт, 5,5x2,5мм, пакет (шт.)",,"1,500.00 руб.","1,385.10 руб.","1,154.25 руб.","1,108.08 руб."
00004168,Блок питания для мониторов LG 19v до 4.74a max (разъем 6.5-4.4mm с иглой по центру) (шт.),,"1,700.00 руб.","1,583.33 руб.","1,319.44 руб.","1,266.66 руб."
00007540,Блок питания для мониторов Samsung 14V 3A (разъем 6.5-4.4mm с иглой по центру) пакет (шт.),,"1,750.00 руб.","1,627.38 руб.","1,410.40 руб.","1,356.15 руб."
00003733,Универсальное зарядное устройство для ноутбука 427 (120W) (шт.),,700.00 руб.,633.60 руб.,475.20 руб.,457.60 руб.
00000160,Универсальное зарядное устройство для ноутбука 506 (120W) (шт.),,"1,000.00 руб.",922.50 руб.,830.25 руб.,799.50 руб.
00008521,Универсальное зарядное устройство для ноутбука Live Power LP-510 19V/4.74A (шт.),,"1,600.00 руб.","1,470.00 руб.","1,274.00 руб.","1,225.00 руб."
,Блоки питания с фиксированным напряжением,,,,,
,3.0V,,,,,
00003608,"Сетевой блок питания универсальный 328 (3V,800mA) (шт.)",,520.00 руб.,468.00 руб.,351.00 руб.,338.00 руб.
,4.5V,,,,,
00005516,"Адаптер/блок питания 220V -> 4.5V 1A штекер 5,5x2,5мм (шт.)",,315.00 руб.,291.35 руб.,271.26 руб.,261.21 руб.
,5.0V,,,,,
00008090,"Адаптер/блок питания 220V -> 5V 2A штекер 3,5x1,35мм с индикатором (шт.)",,385.00 руб.,345.37 руб.,249.44 руб.,239.84 руб.
00008091,"Адаптер/блок питания 220V -> 5V 2A штекер 4,0x1,7мм с индикатором (шт.)",,385.00 руб.,345.37 руб.,249.44 руб.,239.84 руб.
00005245,"Адаптер/блок питания Fiesta 220V -> 5V 2A штекер 3,5x1,35мм (шт.)",,345.00 руб.,331.50 руб.,293.25 руб.,280.50 руб.
00005451,"Адаптер/блок питания Live Power 220V -> 5V 2.0A штекер 5.5x2,5мм (шт.)",,250.00 руб.,225.00 руб.,195.00 руб.,187.50 руб.
00003996,"Адаптер/блок питания ROBITON IB5-2000S 2,35х0,75 (шт.)",,"1,135.00 руб.","1,092.75 руб.",904.35 руб.,866.67 руб.
00000041,Адаптер/блок питания ROBITON IB5-500S (без штекера) (шт.),,650.00 руб.,627.80 руб.,519.56 руб.,497.91 руб.
00007057,"Адаптер/блок питания ROBITON IR5-10W 5,5x2,5/12 (+)  блок питания для роутеров (шт.)",,650.00 руб.,576.98 руб.,500.05 руб.,480.82 руб.
00006476,"Блок питания ET DC-5020, вход AC100-240V, 50/60Hz, выход 5V2A DC plug 2 pin : 5.5*2.5*11mm (шт.)",,600.00 руб.,560.49 руб.,483.18 руб.,463.85 руб.
00006477,"Блок питания ET DC-5030 5.0В, 3A, штекер : 5.5*2.5 (шт.)",,775.00 руб.,720.63 руб.,621.23 руб.,596.38 руб.
00005372,"Источник питания 110-220V AC/5V DC, 4А, 20W с DC разъемом подключения 5.5*2.1, без влагозащиты (шт.)",,550.00 руб.,517.44 руб.,448.45 руб.,431.20 руб.
00000802,"Сетевой блок питания универсальный 0502 (5V,2A) (шт.)",,200.00 руб.,171.00 руб.,128.25 руб.,123.50 руб.
,5.5V,,,,,
00008137,"Сетевой блок питания универсальный PNLV226CE (5.5V,500мА) (шт.)",,250.00 руб.,213.00 руб.,184.60 руб.,177.50 руб.
,6.0V,,,,,
00007108,"Адаптер/блок питания 6V-1000 3,5x1,5 +)- (шт.)",,425.00 руб.,380.81 руб.,285.61 руб.,275.03 руб.
00008504,"Адаптер/блок питания Dos-Gold D-12 (6V,2A) (шт.)",,200.00 руб.,176.00 руб.,148.50 руб.,143.00 руб.
00007748,"Адаптер/блок питания ET DC-6020 6.0V, 2A, штекер: 5.5*2.5 (шт.)",,565.00 руб.,527.94 руб.,457.55 руб.,439.95 руб.
00003727,"Адаптер/блок питания ROBITON B6-500 5,5x2,5 +)-.. Нестабилизированный, входное напряжение: 220 В~50 Гц. выходное напряжение: 6В. Полярность: ""плюс"", разъем 5,5x2,5 (шт.)",,500.00 руб.,477.60 руб.,413.92 руб.,398.00 руб.
00005894,"Адаптер/блок питания ROBITON ID6-500S угловой 5,5x2,1 -)+ (шт.)",,680.00 руб.,634.32 руб.,528.60 руб.,507.46 руб.
00005677,"Адаптер/блок питания ROBITON IR6-500S 5,5х2,5 +)- (шт.)",,465.00 руб.,435.24 руб.,377.21 руб.,362.70 руб.
,6.5V,,,,,
00005895,"Адаптер/блок питания ROBITON ID6,5-500S угловой 4,8x1,7/15 (+) (шт.)",,445.00 руб.,415.65 руб.,358.32 руб.,343.98 руб.
00005800,"Сетевой блок питания универсальный 6050 (6,5V,500A) (шт.)",,205.00 руб.,180.90 руб.,135.68 руб.,130.65 руб.
,7.7V,,,,,
00006384,Сетевой блок питания универсальный 7.7 (7.7B 0.5A) (шт.),,350.00 руб.,315.00 руб.,236.25 руб.,227.50 руб.
,9.0V,,,,,
00004447,Адаптер питания ELECA KХА-10S  9V 500mA для телефонов (шт.),,560.00 руб.,538.32 руб.,445.50 руб.,426.94 руб.
00007233,"Адаптер/блок питания ROBITON AB9-800S (-) 5,5х2,1. Блок питания 9В, 500мА для музыкального оборудования. Cтабилизированное напряжение, низкий уровень шума. Штекер 5,5х2,1/12мм . Отрицательная полярность (шт.)",,925.00 руб.,867.08 руб.,751.47 руб.,722.57 руб.
00003726,"Адаптер/блок питания ROBITON B9-1000 (v.1) 5,5x2,5/12. Нестабилизированный, входное напряжение: 220 В~50 Гц., выходное напряжение: 9Вт. Полярность: ""плюс"", разъем 5,5х2,5 (шт.)",,695.00 руб.,650.97 руб.,542.48 руб.,520.78 руб.
00003762,"Адаптер/блок питания ROBITON B9-500. Нестабилизированный, входное напряжение: 220 В~50 Гц., выходное напряжение: 9Вт. Полярность: ""минус"", разъем 5,5х2,1 (1/20/80) (шт.)",,500.00 руб.,458.06 руб.,396.99 руб.,381.72 руб.
00005678,"Адаптер/блок питания ROBITON IR9-500S 5,5х2,1 -)+ (шт.)",,500.00 руб.,431.99 руб.,374.39 руб.,359.99 руб.
00005679,"Адаптер/блок питания ROBITON IR9-500S угловой 5,5х2,5 -)+ (шт.)",,500.00 руб.,431.99 руб.,374.39 руб.,359.99 руб.
00005897,"Адаптер/блок питания ROBITON IR9-9W 5,5x2,5/12 (+) (шт.)",,755.00 руб.,705.02 руб.,587.52 руб.,564.02 руб.
00006855,"Блок питания ET DC-9020 9V, 2A, DC plug : 5.5*2.5 (шт.)",,550.00 руб.,504.65 руб.,437.36 руб.,420.54 руб.
00005749,"Сетевой блок питания универсальный AF-902 (9V, 2A) (шт.)",,210.00 руб.,195.75 руб.,169.65 руб.,163.13 руб.
00007352,"Сетевой блок питания универсальный Afkas-nova А-20 (9V,2A) (шт.)",,200.00 руб.,171.00 руб.,128.25 руб.,123.50 руб.
,10.0V,,,,,
00005852,"Сетевой блок питания универсальный 1010 (10V, 1A) (шт.)",,200.00 руб.,174.60 руб.,130.95 руб.,126.10 руб.
,12.0V,,,,,
00002559,"200-024-3 Источник питания 110-220V AC/12V DC, 2А, 24W с DC разъемом подключения 5.5*2.1, без влагозащиты (IP23) (шт.)",,450.00 руб.,413.00 руб.,357.93 руб.,344.17 руб.
00007654,"200-150-3 Источник питания 110-220 V AC/12 V DC 12,5 А 150 W с DC разъемом подключения 5.5х2.1, без влагозащиты (IP23) (шт.)",,"1,650.00 руб.","1,536.00 руб.","1,331.20 руб.","1,280.00 руб."
00001464,Ecola LED strip Power Adapter  24W 220V-12V адаптер питания для светодиодной ленты (на вилке) (шт.),,285.00 руб.,256.08 руб.,221.94 руб.,213.40 руб.
00008310,Ecola LED strip Power Adapter  36W 220V-12V адаптер питания для светодиодной ленты (провод с вилкой) B0L036ESB (шт.),,475.00 руб.,444.41 руб.,385.16 руб.,370.34 руб.
00000678,Ecola LED strip Power Adapter  36W 220V-12V адаптер питания для светодиодной ленты (на вилке) B0M036ESB (шт.),,400.00 руб.,369.14 руб.,319.92 руб.,307.62 руб.
00004971,Ecola LED strip Power Adapter 72W 220V-12V адаптер питания для светодиодной ленты (провод с вилкой) B0L072ESB (шт.),,700.00 руб.,662.73 руб.,574.37 руб.,552.28 руб.
00002770,Адаптер питания ELECA KХА-22  12V 500mA для телефонов (шт.),,475.00 руб.,440.85 руб.,382.07 руб.,367.38 руб.
00008425,"Адаптер/блок питания 12Вт. Полярность: ""плюс"", разъем 3,5x1,4 (шт.)",,580.00 руб.,539.24 руб.,467.34 руб.,449.37 руб.
00003725,"Адаптер/блок питания ROBITON B12-1000. Нестабилизированный, входное напряжение: 220 В~50 Гц., выходное напряжение: 12Вт. Полярность: ""плюс"", разъем 5,5x2,5 (шт.)",,400.00 руб.,382.38 руб.,331.40 руб.,318.65 руб.
00001055,"Адаптер/блок питания ROBITON B12-150 5,5х2,5/12. Нестабилизированный, входное напряжение: 220 В~50 Гц., выходное напряжение: 12Вт. Полярность: ""плюс"", разъем 5,5x2,5 (шт.)",,200.00 руб.,195.08 руб.,169.07 руб.,162.57 руб.
00002912,"Адаптер/блок питания ROBITON B12-350 5,5х2,1/12 (+). Нестабилизированный, входное напряжение: 220 В~50 Гц., выходное напряжение: 12Вт. Полярность: ""плюс"", разъем 5,5x2,1 (шт.)",,300.00 руб.,269.52 руб.,233.59 руб.,224.60 руб.
00003764,"Адаптер/блок питания ROBITON B12-500. Нестабилизированный, входное напряжение: 220 В~50 Гц., выходное напряжение: 12Вт. Полярность: ""минус"", разъем 5,5x2,1(1/20/80) (шт.)",,350.00 руб.,298.35 руб.,258.57 руб.,248.63 руб.
00003734,"Адаптер/блок питания ROBITON IB12-1500S 5,5x2,5/12 (шт.)",,865.00 руб.,806.39 руб.,698.87 руб.,671.99 руб.
00005676,"Адаптер/блок питания ROBITON IB12-2000S/II 5,5x2,1 (шт.)",,500.00 руб.,462.87 руб.,401.16 руб.,385.73 руб.
00000317,"Адаптер/блок питания ROBITON IB12-2250S 5,5x2,5/12 (шт.)",,"1,000.00 руб.",933.57 руб.,809.10 руб.,777.98 руб.
00003814,"Адаптер/блок питания ROBITON IB12-3000S 5,5x2,5/12 (шт.)",,"1,250.00 руб.","1,173.05 руб.","1,016.64 руб.",977.54 руб.
00000520,"Адаптер/блок питания ROBITON IB12-500S. Стабилизированный, входное напряжение: 220 В~50 Гц., выходное напряжение: 12Вт. -)+ Полярность: ""минус"", разъем 5,5х2,1 (1/20/60) (шт.)",,400.00 руб.,380.22 руб.,329.53 руб.,316.85 руб.
00005675,"Адаптер/блок питания ROBITON IB12-500S. Стабилизированный, входное напряжение: 220 В~50 Гц., выходное напряжение: 12Вт. +)- Полярность: ""плюс"", разъем 5,5х2,1 (1/20/60) (шт.)",,450.00 руб.,410.48 руб.,355.75 руб.,342.07 руб.
00005682,"Адаптер/блок питания ROBITON IR12-1000S 5,5x2,5 (шт.)",,500.00 руб.,461.76 руб.,400.20 руб.,384.80 руб.
00005683,"Адаптер/блок питания ROBITON IR12-1500S 5,5x2,5 (шт.)",,450.00 руб.,417.05 руб.,361.44 руб.,347.54 руб.
00005896,"Адаптер/блок питания ROBITON IR12-24W 4,0x1,7/12 (+) (шт.)",,525.00 руб.,490.55 руб.,425.14 руб.,408.79 руб.
00005680,"Адаптер/блок питания ROBITON IR12-500S 5,5х2,1 (-) p/n 704-573 (шт.)",,400.00 руб.,378.14 руб.,327.72 руб.,315.12 руб.
00005681,"Адаптер/блок питания ROBITON IR12-500S(+) 5,5х2,1 (+) p/n 497-450 (шт.)",,350.00 руб.,329.36 руб.,285.45 руб.,274.47 руб.
00006856,"Блок питания ET DC-1210 12В, 1A, штекер : 5.5*2.5 (шт.)",,400.00 руб.,363.33 руб.,314.89 руб.,302.78 руб.
00006997,Блок питания для систем видеонаблюдения (12V/2A) (шт.),,260.00 руб.,234.00 руб.,169.00 руб.,162.50 руб.
00006996,Блок питания для систем видеонаблюдения (12V/3A) (шт.),,500.00 руб.,472.50 руб.,409.50 руб.,393.75 руб.
00000788,"Источник питания 110-220V AC/12V DC, 0,5А, 5W с DC разъемом подключения 5.5*2.1,  IP23 (шт.)",,270.00 руб.,248.82 руб.,215.65 руб.,207.35 руб.
00001654,"Сетевой блок питания универсальный 315 (12V,2A) (шт.)",,170.00 руб.,153.00 руб.,114.75 руб.,110.50 руб.
00001981,"Сетевой блок питания универсальный 325 (12V,2A) (шт.)",,200.00 руб.,185.40 руб.,139.05 руб.,133.90 руб.
00000652,"Сетевой блок питания универсальный 355 (12V,4A)5.5*2.5 (шт.)",,350.00 руб.,304.20 руб.,228.15 руб.,219.70 руб.
00003499,"Сетевой блок питания универсальный 356 (12V,6A)5.5*2.5 (шт.)",,685.00 руб.,612.90 руб.,459.68 руб.,442.65 руб.
00005748,"Сетевой блок питания универсальный 388 (12V, 8A) (шт.)",,800.00 руб.,720.90 руб.,540.68 руб.,520.65 руб.
00008316,"Сетевой блок питания универсальный POWER ADAPTER (12V,2A) (шт.)",,250.00 руб.,201.60 руб.,151.20 руб.,145.60 руб.
,14.0V,,,,,
00004757,Блок питания DC-1430B 6.5x4.5 с иглой (шт.),,760.00 руб.,711.69 руб.,597.82 руб.,574.10 руб.
,15.0V,,,,,
00006354,"Блок питания ET DC-1505 15В, 500мА сетевой адаптер для аккумулятора шуруповерта (шт.)",,635.00 руб.,592.04 руб.,513.10 руб.,493.37 руб.
00007196,"Блок питания ET DC-1520 15.0V, 2A, штекер: 5.5*2.5 (шт.)",,"1,065.00 руб.",998.01 руб.,831.68 руб.,798.41 руб.
00007937,"Блок питания ET DC-1550 15.0V, 5A, штекер: 5.5*2.5 (шт.)",,800.00 руб.,750.51 руб.,650.45 руб.,625.43 руб.
,18.0V,,,,,
00006917,Блок питания ET DC-1805 18.0 V / 0.5 A (шт.),,550.00 руб.,498.62 руб.,432.14 руб.,415.52 руб.
,22.0V,,,,,
00006355,"Блок питания ET DC-2205 22В, 500мА сетевой адаптер для аккумулятора шуруповерта (шт.)",,565.00 руб.,527.94 руб.,457.55 руб.,439.95 руб.
,24.0V,,,,,
00006073,Ecola LED strip Power Adapter 36W 220V-24V адаптер питания для светодиодной ленты (на вилке) (шт.),,665.00 руб.,620.27 руб.,516.89 руб.,496.22 руб.
00004974,Ecola LED strip Power Adapter 72W 220V-24V адаптер питания для светодиодной ленты (провод с вилкой) (шт.),,"1,010.00 руб.",944.65 руб.,814.35 руб.,781.78 руб.
00006356,"Блок питания ET DC-2405 24В, 500мА сетевой адаптер для аккумулятора шуруповерта (шт.)",,500.00 руб.,465.84 руб.,403.73 руб.,388.20 руб.
,36.0V,,,,,
00003941,"Блок питания ET DC-3650 36В, 5A, штекер: 5.5*2.5 (шт.)",,"2,615.00 руб.","1,629.60 руб.","1,404.83 руб.","1,348.64 руб."
,Блоки питания универсальные,,,,,
